# Seed kaomoji (Japanese-style emoticons) table.
(>_<)	pain	hurt	wince	closed eyes
(^_^)	smile	happy	closed eyes
(^o^)	cheer	yay	excited	mouth open
(T_T)	cry	sad	tears
(;_;)	cry	sad	weep
(>w<)	cute	excited	closed
(o.O)	confused	wat	surprised
(O_O)	shock	wide	startled
(-_-)	bored	tired	disapproval
(=_=)	tired	annoyed	bored
(*^_^*)	blush	happy	cute
(^_~)	wink	flirt	playful
(>:|)	angry	mad	annoyed
(>:O	yelling	shout	mad
(◕‿◕)	cute	curious	innocent
(✿◠‿◠)	flower	cute	pretty
(っ°Д°;)っ	scared	wat	freaking
ヽ(`Д´)ﾉ	rage	angry	yelling
( ͡° ͜ʖ ͡°)	lenny	smug	suspicious
┻━┻ ︵ \(°□°)/ ︵ ┻━┻	table flip rage	flip	angry
